word,pos,profile,definition,example,unit
waste,verb,B1,to use too much of something or use something badly,They waste less energy.,Unit 14
waste,noun,B1,a bad use of something useful when there is a limited amount of it,I think these sites are a complete waste of time.,Unit 10
weakness,noun,B2,a particular part or quality of someone or something that is not good or effective,What are your strengths and weaknesses?,Unit 02
webcam,noun,B1,a camera which records moving pictures and sounds and allows these to be shown on the Internet as they happen,a webcam for the computer,Unit 13
wedding,noun,B1,an official ceremony at which a man and woman get married,We're going to a wedding on Saturday.,Unit 05
weigh,verb,B1,to measure how heavy someone or something is,It weighs about 40 grams.,Unit 06
Well done.,phrase,A1,used to tell someone how pleased you are about their success,"I passed my exams. ""Well done!""",Unit 09
well-paid,adjective,B2,earning a lot of money,a well-paid job,Unit 02
west,noun,A2,the direction that you face to see the sun go down,It’s in the west of Italy.,Unit 12
What about …?,phrase,A2,used to suggest something,What about fruit?,Unit 03
what,determiner,A1,used to ask information about something,What time is breakfast?,Unit 10
when,conjunction,A2,used to say at what time something happened or will happen,"When you get to the canal called Prinsengracht, turn right.",Unit 01
why,adverb,A2,used to make a suggestion,Why don't we have a look online?,Unit 01
will (for offers),modal verb,A1,used to talk about what someone or something is willing or able to do,I'll do that for you.,Unit 07
will (for predictions),modal verb,A1,"used to talk about what is going to happen in the future, especially things that you are certain about","He'll be twenty-five, I think.",Unit 07
will (for promises),modal verb,A1,used to talk about what someone or something is willing or able to do,I'll give her the message and ask her to contact you.,Unit 07
will (for requests / orders),modal verb,A1,"used to make a request or order, especially in a restaurant","Yes, I'll have some water, please.",Unit 07
win,verb,A2,to achieve first position and/or get a prize in a competition or competitive situation,He won a basketball scholarship.,Unit 12
wind,noun,A1,"a natural, fast movement of air",The fastest winds on earth are inside a tornado.,Unit 06
windy,adjective,A2,with a lot of wind,a windy day,Unit 06
wine,noun,A1,an alcoholic drink that is made from the juice of grapes,Steak in a red wine sauce with roasted potatoes.,Unit 03
wish,noun,B2,expression of hope for another person's success or happiness or pleasure on a particular occasion,good wishes,Unit 09
with,preposition,A1,used to say that people or things are in a place together or are doing something together,I'm in the restaurant with my dad.,Unit 03
with,preposition,A1,having or possessing,It's blue with white letters.,Unit 08
withdrawal,noun,,when you take money out of a bank account,This account allows you to make withdrawals whenever you want to.,Unit 05
without,preposition,A2,"not having, using, or doing something",I did the test without any problems.,Unit 13
won,verb,A2,PAST of win,The ﬁrst football World Cup was won in 1930 by Uruguay. ,Unit 08
wonder,verb,B1,used politely to ask someone for something or to suggest something,I wonder if you could change this ten for me?,Unit 06
wood,noun,A2,the hard material that trees are made of,a piece of wood,Unit 08
wooden,adjective,A2,made of wood,a wooden chair,Unit 11
word,noun,A1,a group of letters or sounds that mean something,I don't remember the word in English.,Unit 08
work ,noun,A1,the place where you go to do your job,Do you chat to people at work during the day?,Unit 10
work ,verb,A1,to do a job that you get money for,I chat with the people I work with.,Unit 10
work,verb,A2,"If a machine or piece of equipment works, it is not broken.",I need to print something but the printer's not working.,Unit 10
work,verb,B1,"If something works, it is successful.",Planning in advance usually works quite well.,Unit 10
working week,noun,B1,the number of days or hours that you spend working each week,How do you feel at the end of a working week?,Unit 09
worry,verb,A1,to think about problems or unpleasant things that might happen in a way that makes you feel anxious,Don't worry about it.,Unit 05
worse,adjective,A2,bad: more unpleasant or difficult than something else that is also bad,The exam was worse than I expected.,Unit 06
worst,adjective,A2,bad: the most unpleasant or difficult,What's the worst job you've ever had?,Unit 06
would (for imaginary future),verb,B1,used to refer to a situation that you can imagine happening,It would be really nice to get out of the city.,Unit 14
would (for past habit),verb,B2,used to talk about things in the past that happened often or always,"When I was a little girl, we'd often swim in the pool.",Unit 14
would (polite enquiry),verb,B1,used as a more polite form of will in requests and offers,Would it be possible to meet up tomorrow?,Unit 14
would prefer,phrase,A2,used to say what you want or ask someone what they want,I'd prefer women-only classes as well.,Unit 06
would rather (not),phrase,B2,"If you would rather do something, you would prefer to do that thing.",I'd rather have a nicer pool than a sauna.,Unit 06
write to (someone),verb,A2,to send someone a letter,When was the last time you wrote a letter to someone?,Unit 12
written,adjective,A1,presented as a document on paper,Have you ever written a thesis or a very long essay?,Unit 02
wrong,adjective,A2,not correct,I might be wrong but I think they should build the airport near Sibley.,Unit 14
wrong with,adjective,B1,"If something is wrong, there is a problem.",What's wrong with Cecile?,Unit 03
yawn,verb,B2,"to take a deep breath with your mouth wide open, because you are tired or bored",She yawned and looked at her watch.,Unit 09
yoga,noun,B1,"a set of exercises for the mind and body, based on the Hindu religion",She does yoga three times a week.,Unit 01
