word,pos,profile,definition,example,unit
security,noun,B1,the things that are done to keep someone or something safe,airport security,Unit 11
see,verb,A1,to notice people and things with your eyes,I'd like to see the Blue Mosque actually.,Unit 02
see,verb,B1,to understand something,I see.,Unit 03
see,verb,A1,to meet or visit someone,See you at the meeting.,Unit 13
see,verb,A2,"to watch a film, television programme, etc",Do you want to see 'Family Law'?,Unit 10
See you soon.,phrase,A1,said when saying goodbye to someone,"Bye, then. See you soon.",Unit 02
self-employed,adjective,,working for yourself and not for a company or other organization,He's been self-employed for over ten years now.,Unit 07
sell,verb,A2,to give something to someone who gives you money for it,He sold his guitar for £50.,Unit 04
sell,verb,A2,to offer something for people to buy,Sicilia just sells expensive pizzas.,Unit 13
seminar,noun,B2,"a meeting of a group of people with a teacher or expert for training, discussion, or study of a subject",,Unit 07
send,verb,A1,to arrange for something to go or be taken somewhere,When was the first time Sang-mi sent a text message?,Unit 04
serious,adjective,B1,A serious person is quiet and does not laugh often.,a serious child,Unit 08
set,verb,B1,"If a book, play, or film is set in a place or period of time, the story happens there or at that time.",It's set in Spain in the 1940s.,Unit 10
shake hands,phrase,B1,to hold someone's hand and move it up and down when you meet them for the first time,The two leaders smiled and shook hands for the photographers.,Unit 01
shared,adjective,A2,Something that is shared belongs to or is used by two or more people.,Shared living room and kitchen.,Unit 05
she,pronoun,A1,used when talking about a woman who has already been talked about,"When is Ruth coming? ""She'll be here soon.""",Intro unit
shelf,noun,A2,"a board used to put things on, often fixed to a wall",a book shelf,Unit 05
shellfish,noun,,sea creatures that live in shells and are eaten as food,They eat a lot of shellfish.,Unit 06
shoe,noun,A1,"a strong covering for the foot, often made of leather",a pair of shoes,Unit 11
shop,noun,A1,a building or part of a building where you can buy things,a book shop,Unit 05
shop,verb,A1,to buy things in shops,I hate shopping.,Unit 06
shop assistant,noun,A2,someone whose job is selling things in a shop,The shop assistant persuaded me to buy the smaller size.,Unit 01
short,adjective,A1,having a small distance from one end to the other,"short, brown hair",Unit 08
short,adjective,A1,continuing for a small amount of time,a short conversation,Unit 02
should,verb,A2,used to say or ask what is the correct or best thing to do,You should put a wet teabag on the sore tooth.,Unit 12
shoulder,noun,B1,where your arm joins your body next to your neck,He put his arm around my shoulder.,Unit 12
shout,verb,A2,to say something very loudly,Look out! she shouted.,Unit 11
shower,noun,A1,when you wash your whole body while standing under a flow of water.,I had a shower and got dressed.,Unit 02
shut,verb,A2,"When a shop, restaurant, etc shuts, it stops serving customers and does not allow people to enter.",What time does the supermarket shut?,Unit 03
sick,adjective,A2,ill,I'm feeling a bit sick.,Unit 12
sight,noun,B1,"something which you see, especially something interesting",Are you interested in seeing some sights?,Unit 02
silly,adjective,B1,stupid,I think they're silly.,Unit 06
singer,noun,A2,someone who sings,a jazz singer,Unit 14
single,adjective,A2,for only one person,furnished single room on tenth floor,Unit 05
single,noun,B1,a ticket for a journey that is from one place to another but not back again,Is it a single or a return ticket?,Unit 09
sister,noun,A1,a girl or woman who has the same parents as you,an older/younger sister,Unit 01
sister-in-law,noun,B2,"the woman married to your brother, or the sister of your husband or wife",I've got to buy a birthday present for my sister-in-law.,Unit 08
skill,noun,B1,"the ability to do an activity or job well, especially because you have done it many times",You need good communication skills to be a teacher.,Unit 13
skin,noun,B1,the outer layer of a person or animal's body,Pale skin was fashionable in Europe for hundreds of years.,Unit 08
skin,noun,B2,the outer layer of a fruit or vegetable,Now supermarkets sell carrots with purple or yellow skins.,Unit 06
skyscraper,noun,,a very tall building,the skyscrapers of New York,Unit 13
sleep,verb,A1,"to be in the state of rest when your eyes are closed, your body is not active, and your mind is unconscious",We had to sleep in the car that night.,Unit 07
sleep,noun,B1,"the state you are in when you are sleeping, or a period of time when you are sleeping",I don’t get enough sleep.,Unit 14
slow down,phrasal verb,B2,to become slower or to make something become slower,"Sorry, can you slow down a bit, please?",Unit 03
small,adjective,A1,little in size or amount,We teach the children in small groups.,Unit 04
smoke,verb,A1,to breathe smoke into your mouth from a cigarette,Do you mind if I smoke?,Unit 13
snack,noun,A2,a small amount of food,Shall we have a quick snack now?,Unit 06
snake,noun,A2,"a long, thin creature with no legs that slides along the ground",She's very afraid of snakes.,Unit 11
snow,noun,A1,soft white pieces of frozen water that fall from the sky when the weather is cold,Children were playing in the snow.,Unit 02
snowman,noun,,something that looks like a person and is made from snow,We built a snowman.,Unit 04
so,conjunction,A2,used to say that something is the reason why something else happens,"It's very hot in there, so by the end of the day I'm tired.",Unit 07
sofa,noun,A2,"a large, comfortable seat for more than one person",I sat next to him on the sofa.,Unit 02
some,quantifier,A1,used to mean an amount of something without saying exactly how much or how many,You'll need a pair of scissors and some glue.,Intro unit
some time,adverb,,used to mean a time when you do not know exactly what it is or when it is not important what it is,I'll text you some time.,Unit 13
something,pronoun,A2,used to mean a thing when you do not know what it is or when it is not important what it is,Something like that.,Unit 02
sometimes,adverb,A1,on some occasions but not always or often,"He does cook sometimes, but not very often.",Unit 03
son,noun,A1,your male child,I have two sons and a daughter.,Unit 01
soon,adverb,A2,after a short period of time,Hope to hear from you soon.,Unit 04
sore,adjective,B1,"painful, especially when touched",I've got a sore throat.,Unit 12
sorry,phrase,A1,something that you say to be polite when you have done something wrong,Sorry I'm late.,Unit 01
Sorry?,phrase,A1,used as a polite way to say that you did not hear what someone has just said,Sorry? What was that?,Unit 01
sorry,adjective,A2,used to show that you are sad about a person or situation,I was sorry to hear about your brother's accident.,Unit 13
Sorry to be …,phrase,,used to apologize for something that you have said,Sorry to be so boring.,Unit 12
south,noun,A2,the part of an area that is further towards the south than the rest,The south of the country is hotter.,Unit 05
southern,adjective,B1,in or from the south part of an area,southern Europe,Unit 05
Spain,noun,,a country in Europe,She lives in Spain.,Unit 13
Spanish,adjective,,coming from or relating to Spain,She's Spanish.,Intro unit
spare,adjective,B1,"If something is spare, it is extra and not being used.",It has a spare bed.,Unit 02
speak,verb,A1,to be able to say things in a particular language,I speak English and Japanese.,Intro unit
special,adjective,A2,better or more important than usual things,Do you do anything special on yourbirthday?,Unit 02
special,adjective,B1,"different from normal things, or used for one purpose",special clothes for special occasions,Unit 08
spell,verb,A2,to write or tell someone the letters which are used to make a word,Can you spell your surname?,Intro unit
spend,verb,A2,to use money to buy or pay for something,She spends a lot on clothes.,Unit 07
spend,verb,A2,to use time doing something or being somewhere,He spent 18 months working on the project.,Unit 07
spice,noun,B1,"a substance made from a plant, which is used to give a special taste to food",herbs and spices,Unit 06
spider,noun,B1,a creature with eight long legs which catches insects in a web (=structure like a net),She's afraid of spiders.,Unit 11
sport,noun,A1,"a game or activity which people do to keep healthy or for enjoyment, often competing against each other",winter sports,Unit 02
square,noun,A2,a shape with four equal sides and four 90¼ angles,"When you land on a dark square, answer the question.",Unit 14
square,adjective,A2,having the shape of a square,The Japanese first made square watermelons in about 2001.,Unit 06
squash,noun,B1,"a fruit with hard skin, a soft inside, and large seeds, that you cook and eat as a vegetable",roasted squash,Unit 06
stairs,noun,A2,a set of steps from one level in a building to another,to go up/down the stairs,Unit 06
start,verb,A1,to begin doing something,She started laughing.,Unit 11
start,noun,B1,the beginning of something,the start of the day,Unit 07
statue,noun,B1,"a model that looks like a person or animal, usually made from stone or metal",a statue of Shakespeare,Unit 13
stay,verb,A1,"to continue to be in a place, job, etc and not leave",I'm going to stay in China for a few more years.,Unit 14
stay,verb,A2,to spend a short period of time in a place,We stayed in a hotel.,Unit 02
stay up late,phrasal verb,B2,to go to bed later than usual,I usually stay up late on New year's Eve.,Unit 03
steam,noun,B2,the gas that water makes when you heat it,Steam was rising from the pan.,Unit 12
stomach,noun,A2,the part of your body where food is digested,stomach pains,Unit 12
stomach,noun,,the front part of your body just below your chest,a flat stomach,Unit 12
stop,verb,A1,to finish doing something,Can you ask your children to stop running round the airport lounge?,Unit 11
stop,noun,A1,a place where a bus or train stops so that people can get on or off,a bus stop,Unit 05
strange,adjective,A2,unusual or not expected,It was really strange.,Unit 04
stranger,noun,B1,someone you have never met before,I can't ask a complete stranger to help me.,Unit 01
strawberry,noun,B1,"a small, red fruit with small, brown seeds on its surface",strawberries and cream,Unit 06
stress,noun,B1,feelings of worry caused by difficult situations such as problems at work,work-related stress,Unit 14
stress,noun,B2,when you say one part of a word more strongly,"In the word 'blanket', the stress is on the first syllable.",Unit 02
strong,adjective,B2,of a good quality or level and likely to be successful,a strong leader,Unit 07
student,noun,A1,someone who is studying at a school or university,a law student,Unit 01
study,verb,A1,"to learn about a subject, usually at school or university",Where do you study?,Unit 04
subject,noun,A1,an area of knowledge studied in school or university,Chemistry is my favourite subject.,Unit 07
subject,noun,B1,"the person or thing which does the action described by the verb. In the sentence 'Bob phoned me yesterday.', 'Bob' is the subject.",What's the subject of this sentence?,Unit 03
subtitle,noun,,the words shown at the bottom of a film or television picture to explain what is being said,films with subtitles,Unit 14
suggestion,noun,B1,an idea or plan that someone suggests,Phillip made a few suggestions.,Unit 10
suit,noun,A2,a jacket and trousers or a jacket and skirt that are made from the same material,She wore a dark blue suit.,Unit 07
sun,phrase,A1,"the large, bright star that shines in the sky during the day and gives light and heat to the Earth",,Unit 02
sun,noun,A1,the light and heat that comes from the sun,I miss the sun.,Unit 02
sunglasses,noun,A2,dark glasses that you wear to protect your eyes from the sun,She had a pair of sunglasses on.,Unit 04
sunny,adjective,A2,bright because of light from the sun,a lovely sunny day,Unit 09
sure,adjective,A2,certain,I'm not sure.,Unit 06
surname,noun,A2,the name that you and people in your family all have,His surname is Walker.,Intro unit
surprised,adjective,A2,feeling surprise because something has happened that you did not expect,I'm surprised to see you here.,Unit 13
Sweden,noun,,a country in Europe,He's from Sweden.,Unit 02
sweet,adjective,A1,with a taste like sugar,I like them because they're very sweet.,Unit 06
sweet,noun,A2,"a small piece of sweet food, often made of sugar or chocolate",I think I eat too many sweets.,Unit 06
symptom,noun,B2,a physical feeling or problem which shows that you have a particular illness,What are your symptoms?,Unit 12
table,noun,A1,"a piece of furniture with four legs, used for eating off, putting things on, etc",the kitchen table,Unit 05
tablet,noun,B1,"a small, round thing containing medicine that you swallow",Take three of these tablets a day.,Unit 12
tails,noun,,the side of a coin that does not have someone's head on it,Let's toss a coin - heads or tails?,Unit 14
take,verb,A1,to get and carry something with you when you go somewhere,What things do you take on holiday?,Unit 04
take,verb,B1,to accept something,Can I take a message?,Unit 03
take,verb,A2,"If something takes a particular amount of time, or a particular quality, you need that amount of time or that quality in order to be able to do it.",How long does it take to Reading?,Unit 09
take,verb,A2,to swallow or use medicine,Take three of these tablets a day.,Unit 12
Take care.,phrase,A2,used when saying goodbye to someone,"See you soon, Bob - take care!",Unit 13
take off,phrasal verb,A2,"If an aeroplane takes off, it begins to fly.",The plane took off at nine o'clock.,Unit 11
take up,phrasal verb,B1,to start doing a particular job or activity,I took up languages.,Unit 14
take photos,phrase,A1,to use a camera to create pictures,I took a lot of photos of the kids.,Unit 12
take turns,phrase,B2,"If two or more people take turns, one person does something, then another person does something, etc.",The children took it in turns to hold the baby.,Unit 14
talk,verb,A1,to say things to someone,We were just talking about Simon's new girlfriend.,Unit 03
talk,noun,B2,when someone speaks to a group of people about a particular subject,She gave a talk about road safety at the school.,Unit 12
tall,adjective,A1,being higher than most other people or things,He's tall and thin.,Unit 08
tan,noun,B2,when your skin is brown from being in the sun,He's got a tan.,Unit 08
taxi,noun,A1,a car with a driver who you pay to take you somewhere,I'll take a taxi to the airport.,Unit 09
tea,noun,A1,a hot drink that you make by pouring water onto dried leaves,Would you like a cup of tea or coffee?,Unit 02
teabag,noun,,"a small paper bag with dried leaves inside, used for making tea",Do you use teabags or tea leaves?,Unit 12
teacher,noun,A1,"someone whose job is to teach in a school, college, etc",a science teacher,Intro unit
team,noun,A2,a group of people who play a sport or game together,a football team,Unit 03
team,noun,B1,a group of people who work together to do something,a management team,Unit 07
technology,noun,B1,"knowledge, equipment, and methods that are used in science and industry",computer technology,Unit 04
telephone,noun,A2,a piece of equipment that is used to talk to someone who is in another place,The telephone rang and she hurried to pick it up.,Intro unit
television,noun,A1,"a piece of equipment in the shape of a box, with a screen on the front, used for watching programmes",Richard switched the television on.,Unit 01
television,noun,A1,the programmes that are shown on a television,I mostly watch television in the evening.,Unit 01
temperature,noun,A2,a fever,I've got a temperature.,Unit 12
tennis,noun,A1,a sport in which two or four people hit a small ball to each other over a net,Polly plays a lot of tennis.,Unit 03
terrible,adjective,A2,very bad,a terrible accident,Unit 01
text,noun,B1,"the written words in a book, magazine, etc, not the pictures",a page of text,Unit 14
text,,A2,a message in writing sent from one mobile phone to another,I sent her a text.,Unit 04
text message,noun,A2,a message in writing sent from one mobile phone to another,I send too many text messages.,Unit 04
Thanks.,exclamation,A1,used to tell someone that you are pleased about something they have given you or done for you,Can you pass me the book? Thanks very much.,Unit 02
that,determiner,A1,used to mean something or someone that has already been talked about or seen,Did you see that woman in the post office?,Unit 06
that,determiner,A1,used to mean something or someone that is not near you,Have you seen that man over there?,Unit 06
that,pronoun,A1,used to mean something that has already been talked about or seen,"I passed my driving test. ""That's great!""",Unit 06
that,pronoun,A1,used to mean something that is not near you,What's that in the corner?,Unit 06
that,conjunction,B1,used instead of 'who' or 'which' in the middle of a sentence,Have you eaten all the cake that I made yesterday?,Unit 06
That's all right.,phrase,A2,used as an answer when someone thanks you,"Thanks for cleaning the kitchen. ""That's all right.""",Unit 06
the same,phrase,A1,exactly alike,He's the same age as me.,Unit 01
the same,phrase,A2,not changed,He looks exactly the same as he did ten years ago.,Unit 14
the United States          ,noun,,a country mostly in central North America,I was in the United States on business.,Intro unit
theatre,noun,A2,a building with a stage where people go to watch plays,the Arts Theatre,Unit 05
their,determiner,A1,belonging to or relating to them,"It was their problem, not mine.",Intro unit
there,adverb,A1,in or at a particular place,I drive to the sea and walk there.,Unit 03
there,adverb,A1,used when you are pointing at something in order to make someone look somewhere,There's a computer in the living room.,Unit 05
these,pronoun,A1,this,Can I try these shoes on?,Unit 06
they,pronoun,A1,"used as the subject of the verb when meaning a group of people, animals, or things that have already been talked about",I saw Kate and Nigel yesterday - they came over for dinner.,Intro unit
thing,noun,A2,something that can be done,You don't always have time to do all the tourist things.,Unit 13
thing,noun,A1,used to mean an object without saying its name,The first thing I saw was a huge spider on the wall.,Unit 13
think,verb,A1,to have an opinion about something or someone,I think it's a terrible idea.,Unit 01
think,verb,A2,to consider an idea or a problem,I'll think about it.,Unit 13
thirsty,adjective,A2,wanting or needing a drink,I felt really hot and thirsty after my run.,Unit 06
this,determiner,A1,used to mean something or someone that is near you or that you are pointing to,How much does this CD cost?,Unit 06
this,determiner,A1,"used to mean the present week, month, year, etc or the one that comes next",I'll see you this evening.,Unit 06
this,pronoun,A2,used to mean something or someone that is near you or that you are pointing to,"This is my girlfriend, Beth.",Unit 06
This is to …,phrase,A2,"used when writing to introduce the purpose of the letter, often used when inviting someone to something",This is to invite you to my 30th birthday party.,Unit 10
those,determiner,A1,plural of 'that',Can I have some of those carrots?,Unit 06
through,preposition,A2,from one end or side of something to the other,The River Seine flows through Paris.,Unit 09
throw,verb,A2,to make something move through the air by pushing it out of your hand,Amy threw the ball to the dog.,Unit 14
thumb,noun,B1,"the short, thick finger on the side of your hand",I've hurt my thumb.,Unit 12
ticket,noun,A1,"a small piece of paper that shows you have paid to do something, for example travel on a bus, watch a film, etc",a lottery ticket,Unit 04
tie,noun,A2,"a long, thin piece of cloth that a man wears around his neck with a shirt",a shirt and tie,Unit 07
time,noun,A2,"Time is what we measure in minutes, hours, days, etc.",spend time at home,Unit 03
time,noun,A2,"a period of minutes, hours, years, etc",I had a lovely time.,Unit 04
time,noun,A2,an occasion when something happens,the first time I used a computer,Unit 04
tired,adjective,A1,feeling that you want to rest or sleep,I'm too tired to go out tonight.,Unit 07
title,noun,,"a word such as 'Mr', 'Mrs', etc that is used before someone's name or surname",What's her title - is she 'doctor'?,Intro unit
to,preposition,A1,in the direction of somewhere,I'd like to go to Istanbul.,Unit 08
to,preposition,A2,used to give the reason for doing something,"To relax, I watch TV.",
toast,noun,A2,bread that has been heated to make it brown,a slice of toast,Unit 06
toaster,noun,,a machine that heats bread so that it becomes brown,I've put two slices of bread in the toaster.,Unit 05
today,noun,A1,"this day, or on this day",It's Johann's birthday today.,Unit 10
toe,noun,A2,one of the five separate parts at the end of your foot,He accidentally trod on my toe.,Unit 12
together,adverb,A1,with each other,We were at college together.,Unit 01
toilet,noun,A1,a bowl that you sit on or stand near when you get rid of waste substances from your body,I need the toilet,Unit 06
toilet,noun,A2,a room with a toilet in it,"She's in the toilet, I think.",Unit 06
tomato,noun,A1,"a soft, round, red fruit eaten in salads or as a vegetable",slices of tomato,Unit 06
tomb,noun,B2,a place where a dead person is buried,That's where all the kings' tombs are.,Unit 13
tomorrow,noun,A1,the day after today or on the day after today,It's my birthday tomorrow.,Unit 10
tonight,noun/adverb,A1,"the night of this day, or during the night of this day",What are you doing tonight?,Unit 10
too,adverb,A1,"used before adjectives and adverbs to mean 'more than is allowed, necessary, possible, etc'",Most people feel that a metre is too far away.,Unit 05
too much,phrase,A1,more than someone can deal with,Don't eat too much junk food.,Unit 14
tooth,noun,A2,"one of the hard, white things in your mouth that you use for biting",You should brush your teeth twice a day.,Unit 12
toothache,noun,,a pain in one of your teeth,I've got really bad toothache.,Unit 12
toothbrush,noun,A2,a small brush that you use to clean your teeth,Put some toothpaste on your toothbrush.,Unit 04
towel,noun,A2,a soft piece of cloth or paper that you use for drying yourself,a bath towel,Unit 05
traditional,adjective,B1,following the customs or ways of behaving that have continued in a group of people for a long time,traditional farming methods,Unit 08
traffic jam,noun,B1,"a line of cars, trucks, etc that are moving slowly",We were in a traffic jam for two hours.,Unit 09
traffic light,noun,A2,"a set of red, green, and yellow lights that is used to stop and start traffic",Turn left at the traffic lights.,Unit 09
train,noun,A1,"a long, thin vehicle which travels along metal tracks and carries people or goods",Do you like taking the train?,Unit 04
transport,noun,B1,"a vehicle or system of vehicles, such as buses, trains, aeroplanes, etc for getting from one place to another",I rely on public transport.,Unit 09
travel,verb,A1,to make a journey,I spent a year travelling around Asia.,Unit 02
tree,noun,A1,a tall plant with a thick stem which has branches coming from it and leaves,He climbed the tree.,Unit 04
trip,noun,A2,a journey in which you visit a place for a short time and come back again,a business trip,Unit 04
trousers,noun,A1,a piece of clothing that covers the legs and has a separate part for each leg,a pair of trousers,Unit 06
try,verb,B1,"to do, test, taste, etc something to discover if it works or if you like it",Have you tried Sicilia?,Unit 13
try on,phrasal verb,A2,to put on a piece of clothing to see if it fits you,Could I try these shoes on?,Unit 06
tutor,noun,B2,someone who teaches one person or a very small group of people,a private tutor,Unit 06
TV programme,noun,A2,a show on television,Which TV programmes do you watch?,Unit 11
twice,adverb,A2,two times,twice a week,Unit 07
twins,noun,B1,two children who are born to the same mother at the same time,Our mum says we're like twins.,Unit 08
ugly,adjective,B1,bad to look at,an ugly city,Unit 02
uncle,noun,A2,"the brother of your mother or father, or the husband of your aunt",My uncle and aunt are coming to stay.,Unit 08
uncomfortable,adjective,B1,not making you feel comfortable and pleasant,These shoes are really uncomfortable.,Unit 02
uncomfortable,adjective,,"slightly embarrassed, or making you feel slightly embarrassed",I feel a bit uncomfortable if I don't know anyone.,Unit 05
underground,noun,A2,a system of trains that is built under a city,I usually get the underground.,Unit 09
understand ,verb,A1,to know the meaning of something that someone says,She didn't understand so I explained it again.,Intro unit
unemployed,adjective,B1,not having a job,I've been unemployed for six months.,Unit 07
unfriendly,adjective,B1,not friendly,I must have appeared unfriendly.,Unit 02
unicycle,noun,,a vehicle like a bicycle with only one wheel,He rides a unicycle to work.,Unit 09
university,noun,A1,a place where students study at a high level to get a degree (=type of qualification),I was at university in 2007.,Unit 01
unusual,adjective,A2,"different and not ordinary, often in a way that is interesting",an unusual name,Unit 12
up,preposition,A2,towards or in a higher place,He ran up the stairs.,Unit 09
upstairs,adverb,A2,on or to a higher level of a building,The bedrooms are upstairs.,Unit 05
us,pronoun,A1,used after a verb or preposition to mean the person who is speaking or writing and one or more other people,She gave us all a present.,Unit 03
use,verb,A1,"If you use something, you do something with it for a particular purpose.",Can I use your mobile phone?,Unit 01
usually,adverb,A2,in the way that most often happens,I usually get home at about six o'clock.,Unit 01
veg,noun,,vegetables,fruit and veg,Unit 06
vegetable,noun,A1,"a plant that you eat, for example a potato, onion, etc",fruit and vegetables,Unit 06
very,adverb,A1,used to make an adjective or adverb stronger,It was very hot.,Unit 01
village,noun,A1,a place where people live in the countryside which is smaller than a town,She lives in a small village outside Oxford.,Unit 05
visit,verb,A1,to go somewhere to see someone or a place,Did you visit St Petersburg while you were in Russia?,Unit 04
visitor,noun,A2,someone who visits a person or place,The museum attracts large numbers of visitors.,Unit 13
vowel,noun,B1,"a speech sound that you make with your lips and teeth open, shown in English by the letters 'a', 'e', 'i', 'o' or 'u'",,Unit 01
waiter,noun,A1,"a man who works in a restaurant, bringing food to customers",The waiter eventually brought us our food.,Unit 01
waitress,noun,A1,"a woman who works in a restaurant, bringing food to customers",Did you tip the waitress?,Unit 01
Wales,noun,,a country in Europe,Kathryn is from Wales.,Intro unit
walk,verb,A1,to move forward by putting one foot in front of the other and then repeating the action,I usually walk to the shops.,Unit 09
walk,noun,A2,"a journey that you make by walking, often for enjoyment",It's a ten-minute walk.,Unit 09
wallet,noun,A2,"a small, flat container for paper money and credit cards (=plastic cards used for paying with), usually used by a man",,Unit 11
want,verb,A1,to need something,Do you want something to eat?,Unit 02
wardrobe,noun,B1,a large cupboard for keeping clothes in,I hung your shirts up in the wardrobe.,Unit 05
wash,verb,A1,to make something clean using water and soap,Dad was washing the dishes.,Unit 05
washing machine,noun,A2,a machine that washes clothes,Could you put the washing machine on?,Unit 02
watch,verb,A1,to look at something for a period of time,We like watching something good on TV together.,Unit 03
water,noun,A1,"the clear liquid that falls from the sky as rain and that is in seas, lakes, and rivers",hot/cold water,Unit 05
water,verb,B2,to pour water over plants,I was just watering the flowers.,Unit 05
waterfall,noun,B1,"a stream of water that falls from a high place, often to a pool below",We stood and admired the waterfall.,Unit 13
watermelon,noun,,"a large, round, green fruit that is pink inside with a lot of black seeds",a slice of watermelon,Unit 06
way,noun,A2,how you do something,the way men dress,Unit 08
way,noun,A2,the route you take to get from one place to another,What's the best way to get there?,Unit 09
we,pronoun,A1,used as the subject of the verb when the person speaking or writing is referring to themselves and one or more other people,My wife and I both play golf and we love it.,Intro unit
wear,verb,A1,"to have a piece of clothing, jewellery, etc on your body",I wear jeans a lot of the time.,Unit 07
weather,noun,A1,"the temperature or conditions outside, for example if it is hot, cold, sunny, etc",bad/good weather,Unit 04
website,noun,A1,"an area on the Web (=computer information system) where information about a particular subject, organization, etc can be found",,Intro unit
wedding,noun,B1,an official ceremony at which a man and woman get married,We're going to a wedding on Saturday.,Unit 11
week,noun,A1,a period of seven days,last week,Unit 03
weekend,noun,A1,"Saturday and Sunday, the two days in the week when many people do not work",Are you doing anything this weekend?,Unit 01
weird,adjective,B2,very strange,I had a really weird dream last night.,Unit 06
well paid,adjective,B2,earning a lot of money,a well-paid job,Unit 01
well,adverb,A2,in a complete way or as much as possible,We don’t know each other very well.,Unit 08
"Well, …",exclamation,A1,something you say before you start speaking,"Well, this was a few weeks ago.",Unit 11
west,phrase,A2,the part of an area that is further towards the west than the rest,They live in the west of the country.,Unit 05
wet,adjective,A2,covered in water or another liquid,a wet towel,Unit 12
What about …?,phrase,A2,used to suggest something,What about going to see a film?,Unit 10
What else …?,phrase,A2,what other things?,What else would you like to do?,Unit 02
what time?,phrase,A1,when?,"Sorry, what time?",Unit 01
what?,pronoun,A1,used to ask for information about something,"Sorry, what's your name again?",Unit 01
when?,adverb,A1,used to ask at what time something happened or will happen,"Sorry, when?",Unit 01
where?,adverb,A1,used to ask about the place or position of someone or something,"Sorry, where?",Unit 01
which?,determiner,A1,used to show what thing is being talked about or written about,"Sorry, which hotel?",Unit 01
who?,pronoun,A1,used to ask about someone's name or which person or group someone is talking about,"Sorry, who?",Unit 01
Why?,adverb,A1,used to ask or talk about the reasons for something,Why didn't you call me?,Unit 03
wife,noun,A1,the woman that a man is married to,Your wife just called.,Unit 01
wig,noun,,a covering of hair that you wear on your head,He so obviously wears a wig.,Unit 08
window,noun,A1,"a space in the wall of a building or car that has glass in it, used for letting light and air inside and for looking through",Open the window if you're too hot.,Unit 01
wine,noun,A1,"an alcoholic drink that is made from the juice of grapes (=small, green or purple fruit)",a glass of wine,Unit 12
winter,noun,A1,"the coldest season of the year, between autumn and spring",We went skiing last winter.,Unit 02
with,preposition,A1,used to say that people or things are in a place together or are doing something together,He wants to stay with Erkan.,Unit 02
word,noun,A1,a group of letters or sounds that mean something,'Hund' is the German word for 'dog'.,Unit 06
work,verb,A1,to do a job that you get money for,He works with me.,Unit 01
work,noun,A1,something you do to get money,How's work?,Unit 02
work for,phrase,A1,to do a job for a particular company,I work for Alstom.,Unit 07
work hard,phrase,A1,"to spend a lot of time working, using a lot of effort",She worked really hard at college.,Unit 07
work on,phrasal verb,,to spend time working at a particular thing,I'm working on a report.,Unit 07
work-life balance,phrase,,the amount of time you spend doing your job compared with the amount of time you spend with your family or doing the things that you enjoy,It's difficult to get the right work-life balance.,Unit 07
worker,noun,A2,someone who works for a company or organization but does not have a powerful position,an office worker,Unit 13
worse,adjective,A2,bad: more unpleasant or difficult than something else that is also bad,The exam was worse than I expected.,Unit 09
worst,adjective,A2,bad: the most unpleasant or difficult,What's the worst job you've ever had?,Unit 01
would / 'd rather …,modal verb,B1,"in preference to, or as a preference",I'd rather have normal potatoes.,Unit 06
would like to,phrase,A1,used to state a desire,I'd like to go to Cuba.,Unit 02
would love to,phrase,A1,used to state a strong desire,We'd love to come.,Unit 10
Would you like …?,phrase,A1,used to offer someone something,Would you like some magazines?,Unit 02
wrist,noun,B2,the part of your body between your hand and your arm,I've sprained my wrist.,Unit 12
write,verb,A1,"to make words, letters, or numbers on a surface using a pen or pencil",Write your name at the top of the page.,Unit 06
wrong,adjective,A1,not correct,"Sorry, I'm wrong. It's …",Unit 09
www.,noun,,World Wide Web (=part of the Internet that consists of all the connected websites),,Intro unit
yeah,exclamation,A2,yes,"Yeah, I agree.",Unit 05
year,noun,A1,"a period of 12 months, or 365 or 366 days, especially from 1 January to 31 December",He joined the company a year ago.,Unit 01
yellow,adjective,A1,being the same colour as a lemon or the sun,a bright yellow tablecloth,Unit 06
"Yes, please.",phrase,A1,used to accept something politely,"Would you like a drink? ""Oh yes, please.""",Unit 02
yoghurt,noun,A2,"a thick, liquid food with a slightly sour taste which is made from milk",I have yoghurt for breakfast.,Unit 05
you,pronoun,A1,used to mean the person or people you are talking to,I love you.,Intro unit
young,adjective,A1,having lived or existed for only a short time and not old,young people,Unit 01
your,determiner,A1,belonging or relating to the person or people you are talking to,What's your name?,Intro unit
yourself,pronoun,A2,used to give more attention to the word 'you',Did you pack your bags yourself?,Unit 11
youth hostel,noun,,"a cheap, simple hotel, especially for young people who are travelling around",We stayed in a youth hostel.,Unit 11
